"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GSF2960.NOF1.TnA","GSF2960.NOF10.TnA","GSF2960.NOF11.TnA","GSF2960.NOF12.TnA","GSF2960.NOF2.TnA","GSF2960.NOF3.TnA","GSF2960.NOF4.TnA","GSF2960.NOF5.TnA","GSF2960.NOF6.TnA","GSF2960.NOF7.TnA","GSF2960.NOF8.TnA","GSF2960.NOF9.TnA","GSF2960.NOM1.TnA","GSF2960.NOM10.TnA","GSF2960.NOM11.TnA","GSF2960.NOM12.TnA","GSF2960.NOM2.TnA","GSF2960.NOM3.TnA","GSF2960.NOM4.TnA","GSF2960.NOM5.TnA","GSF2960.NOM6.TnA","GSF2960.NOM7.TnA","GSF2960.NOM8.TnA","GSF2960.NOM9.TnA"
"1","ENSGALG00010001141",203.818919656623,-0.635999726841453,0.0794144789142141,-8.00861172341732,1.16010543072299e-15,6.24611310314263e-14,101,175,180,159,180,172,166,166,201,173,143,116,193,224,253,265,278,254,221,274,267,227,279,265
"2","ENSGALG00010001169",1102.25600175611,-0.702673029374462,0.0668574513579341,-10.5100181820059,7.76785710381227e-26,6.05330706543791e-24,696,827,900,998,876,856,897,893,773,793,953,757,981,1021,1257,1664,1467,1588,1065,1509,1506,1455,1531,1459
"3","ENSGALG00010001170",306.445706746083,-0.673594876416381,0.0626071928886549,-10.7590652980457,5.37121830889809e-27,4.32803271216992e-25,164,207,264,295,247,243,239,235,291,243,245,188,299,314,307,389,411,454,290,433,401,401,413,481
"4","ENSGALG00010001171",194.231174157828,-0.9726578604653,0.0799864388363825,-12.1602846009301,5.05821598774011e-34,5.2556638925247e-32,123,107,167,152,142,99,122,124,153,118,145,117,227,227,190,303,296,267,251,244,280,240,302,304
"5","ENSGALG00010001178",254.057311943508,-0.711249293382956,0.0652833876912653,-10.8947975669792,1.22037647856899e-27,1.0399539128525e-25,159,188,229,225,164,185,186,207,203,214,222,125,263,240,255,335,337,346,293,331,380,309,388,390
"6","ENSGALG00010001191",290.848069634862,-1.10438944026897,0.0960418433012056,-11.4990446071031,1.33383636200412e-30,1.22475129518906e-28,166,187,205,259,156,203,182,137,176,178,221,158,396,294,428,382,409,395,358,468,447,330,441,436
"7","ENSGALG00010001204",110.616688863991,0.52973267958794,0.151423124361486,3.49836051674203,0.000468127879755318,0.0122676432205791,44,156,141,142,153,131,138,163,158,125,113,116,68,71,79,112,111,110,74,108,76,100,106,91
"8","ENSGALG00010001420",104.038724426034,0.341053639665221,0.10181102866047,3.34986930347795,0.000808496989298077,0.0203758443366717,75,121,134,109,106,98,123,106,158,128,93,95,63,75,84,106,121,90,83,120,103,78,133,133
"9","ENSGALG00010001632",24.9952526176062,1.00520971598744,0.308508262629506,3.25829106624161,0.00112085378571076,0.0276594022744667,26,34,32,20,28,38,22,22,102,31,18,16,13,15,20,13,13,17,21,37,21,7,24,26
"10","ENSGALG00010002194",2822.26715374068,0.219819812794212,0.0594886072986517,3.69515816180813,0.000219749952038513,0.00603929972597722,2365,3402,3383,3079,3274,2927,3167,2634,3612,3057,3813,2180,1904,2266,2438,2960,2862,2532,2156,3032,2843,2848,3113,2684
"11","ENSGALG00010002372",180.664940415278,0.294356893500374,0.0836258010993101,3.51992913228789,0.000431662117748966,0.0113371126047373,150,186,211,239,228,212,198,180,313,199,191,149,140,161,144,192,186,171,123,182,167,144,158,166
"12","ENSGALG00010002375",1001.93096433493,0.509999704901934,0.133008013760444,3.83435321288594,0.000125895125901432,0.00357608577050951,1074,1170,1429,1116,1107,813,1109,1155,2039,935,1068,1076,574,844,983,775,979,814,524,959,749,743,1161,1122
"13","ENSGALG00010002758",548.680904981085,0.662904452009386,0.185282976844719,3.57779469705385,0.000346505444540772,0.00924404727609333,936,636,501,995,782,740,694,674,570,465,973,315,337,240,284,677,577,372,313,400,535,567,361,386
"14","ENSGALG00010002835",2370.36155635865,-0.186884688047723,0.0543419744535157,-3.4390485426249,0.000583762548352423,0.0149668125221525,1910,2329,2351,2979,2187,2680,2242,2161,2510,2301,2639,1586,2288,2339,2186,3135,2552,2604,1789,2379,2643,2565,2493,2561
"15","ENSGALG00010003126",152.296877998721,0.517976900637637,0.153458164115703,3.37536229253399,0.000737185747719542,0.0186979982478329,105,176,213,156,179,147,122,169,343,203,219,117,78,123,118,117,148,137,91,198,110,144,131,197
"16","ENSGALG00010003958",165.287719704812,-0.641380843887009,0.206961059643452,-3.09904116741558,0.00194148041030911,0.044740925019672,142,115,252,242,107,146,79,148,74,124,100,106,147,209,246,256,249,233,153,192,231,107,156,179
"17","ENSGALG00010004133",146.219039483478,0.323180539263834,0.10351025989949,3.1222077847901,0.00179500201464782,0.0422699778598477,136,157,136,183,129,165,159,199,187,157,211,137,113,105,115,125,134,122,116,157,132,166,159,131
"18","ENSGALG00010005204",27.7872808478544,1.0416941915093,0.294883063652255,3.53256704066847,0.000411545863966148,0.0108569281930491,31,49,25,19,30,34,22,31,58,63,69,21,8,20,7,14,17,14,10,29,34,28,27,23
"19","ENSGALG00010005326",30.2325322007876,0.574050436801923,0.18742372105832,3.06284836071149,0.00219241126604638,0.0499405989352295,30,46,33,46,37,26,43,29,61,39,31,27,22,15,12,36,35,28,17,24,37,21,20,25
"20","ENSGALG00010005477",255.563593700558,-0.628546845466183,0.0993010757794948,-6.32970831919199,2.45625070691232e-10,1.02444681772452e-08,191,186,209,199,260,211,200,227,155,216,204,135,272,267,276,292,376,302,268,373,341,335,324,343
"21","ENSGALG00010005495",854.327821341087,-0.534803985872782,0.0878924835420434,-6.08475223728271,1.16671588866913e-09,4.70059513649177e-08,584,670,927,797,663,793,674,745,576,731,760,617,904,961,1007,1019,1015,1055,881,1121,1154,841,1171,898
"22","ENSGALG00010005519",90.873821320374,-0.488472355917836,0.131909891403536,-3.70307602197558,0.000213001019052181,0.00589485296886233,62,83,107,91,80,36,66,77,69,96,80,50,100,96,77,111,132,109,87,125,102,108,149,113
"23","ENSGALG00010005531",16.4063043078055,-0.913428904315173,0.242285174194145,-3.77005694778186,0.000163210301525869,0.00458110431652588,4,12,17,14,9,13,7,8,7,18,22,8,12,16,20,27,19,28,21,32,29,16,20,23
