"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GSF2960.NOF1.TnA","GSF2960.NOF10.TnA","GSF2960.NOF11.TnA","GSF2960.NOF12.TnA","GSF2960.NOF2.TnA","GSF2960.NOF3.TnA","GSF2960.NOF4.TnA","GSF2960.NOF5.TnA","GSF2960.NOF6.TnA","GSF2960.NOF7.TnA","GSF2960.NOF8.TnA","GSF2960.NOF9.TnA","GSF2960.NOM1.TnA","GSF2960.NOM10.TnA","GSF2960.NOM11.TnA","GSF2960.NOM12.TnA","GSF2960.NOM2.TnA","GSF2960.NOM3.TnA","GSF2960.NOM4.TnA","GSF2960.NOM5.TnA","GSF2960.NOM6.TnA","GSF2960.NOM7.TnA","GSF2960.NOM8.TnA","GSF2960.NOM9.TnA"
"1","ENSGALG00010000047",1631.43338626131,0.203948436140484,0.0538197459861619,3.78947229132079,0.000150967648947246,0.00449299447683449,1358,1845,1905,1694,1682,1605,1612,1758,2121,1883,1841,1304,1288,1530,1342,1788,1679,1689,1139,1542,1882,1609,1625,1840
"2","ENSGALG00010000145",635.016624950977,0.300217627242393,0.0970109039344889,3.09467920683565,0.00197025868806606,0.0474343783742732,665,597,768,870,566,670,513,621,620,592,893,530,615,593,678,699,590,637,479,638,739,649,510,571
"3","ENSGALG00010000674",659.542468904889,0.403573698656408,0.103681256124034,3.89244607698053,9.92385614386128e-05,0.0030218014402066,635,905,849,677,703,695,755,696,798,681,799,468,495,584,698,773,717,612,352,589,695,569,673,552
"4","ENSGALG00010001141",203.818919656623,-0.649893546210738,0.0874965073457121,-7.42765129633014,1.10542909883262e-13,6.17632437531715e-12,101,175,180,159,180,172,166,166,201,173,143,116,193,224,253,265,278,254,221,274,267,227,279,265
"5","ENSGALG00010001169",1102.25600175611,-0.648228384911354,0.074608515404212,-8.68839677883148,3.67589988543288e-18,2.63885055411833e-16,696,827,900,998,876,856,897,893,773,793,953,757,981,1021,1257,1664,1467,1588,1065,1509,1506,1455,1531,1459
"6","ENSGALG00010001170",306.445706746083,-0.7003253669422,0.0688121429827282,-10.1773515049223,2.50280563503315e-24,2.28044098053597e-22,164,207,264,295,247,243,239,235,291,243,245,188,299,314,307,389,411,454,290,433,401,401,413,481
"7","ENSGALG00010001171",194.231174157828,-1.03684026704092,0.0874831936042395,-11.8518794790622,2.10417807751763e-32,2.73889992617542e-30,123,107,167,152,142,99,122,124,153,118,145,117,227,227,190,303,296,267,251,244,280,240,302,304
"8","ENSGALG00010001178",254.057311943508,-0.795605260474826,0.0712257119377335,-11.1701973743745,5.70539607874436e-29,6.69113035175515e-27,159,188,229,225,164,185,186,207,203,214,222,125,263,240,255,335,337,346,293,331,380,309,388,390
"9","ENSGALG00010001191",290.848069634862,-1.12504176876789,0.106440910891672,-10.5696367998286,4.12087451972558e-26,4.24450075531735e-24,166,187,205,259,156,203,182,137,176,178,221,158,396,294,428,382,409,395,358,468,447,330,441,436
"10","ENSGALG00010002160",364.131480607134,0.662073808946049,0.157044720534669,4.21582977569684,2.48861431152321e-05,0.000794545458759903,302,602,261,327,404,529,507,350,506,435,588,312,268,282,266,365,324,318,241,283,397,361,314,249
"11","ENSGALG00010002194",2822.26715374068,0.212745592798069,0.0664973972847947,3.19930706290538,0.00137758358777321,0.0346767166617017,2365,3402,3383,3079,3274,2927,3167,2634,3612,3057,3813,2180,1904,2266,2438,2960,2862,2532,2156,3032,2843,2848,3113,2684
"12","ENSGALG00010002309",750.934978353713,0.338897126846791,0.103268985545936,3.2816931923481,0.00103185811655517,0.026686374215275,687,1065,903,857,760,813,659,677,896,988,1038,530,534,698,673,721,665,669,626,659,945,712,775,639
"13","ENSGALG00010002371",902.322142354019,0.579828344780838,0.183722794872014,3.15599566828254,0.00159951235943913,0.0398029913814212,833,841,1188,1020,1047,1226,956,1062,750,766,845,739,648,1082,1304,845,621,1372,428,844,688,1033,504,952
"14","ENSGALG00010002372",180.664940415278,0.388195035160739,0.0936687722670791,4.14433781681127,3.4079704666361e-05,0.00107934251810975,150,186,211,239,228,212,198,180,313,199,191,149,140,161,144,192,186,171,123,182,167,144,158,166
