"","x"
"1","SPIN1"
"2","NXNL2"
"3","S1PR3"
"4","SHC3"
"5","CKS2"
"6","SECISBP2"
"7","SEMA4D"
"8","GADD45G"
"9","DIRAS2"
"10","SYK"
"11","AUH"
"12","NFIL3"
"13","ROR2"
"14","SPTLC1"
"15","CDC42SE2"
"16","HINT2"
"17","CHSY3"
"18","LNPEP"
"19","SHB"
"20","TRIM14"
"21","NANS"
"22","CLTA"
"23","GNE"
"24","CPLX1"
"25","PCGF3"
"26","MFSD7"
"27","CHRNA8"
"28","TMEM271"
"29","MAT2A"
"30","TMEM175"
"31","PDE6B"
"32","RBP4"
"33","IDUA"
"34","CHRNA6"
"35","CHRNB3"
"36","THAP1"
"37","RNF170"
"38","HOOK3"
"39","FUT10"
"40","NRG1"
"41","LPL"
"42","NIPSNAP3A"
"43","ABCA1"
"44","SLC44A1"
"45","FSD1L"
"46","FKTN"
"47","TAL2"
"48","TMEM38B"
"49","ZNF462"
"50","RAD23B"
"51","KLF4"
"52","PHAX"
"53","LMNB1"
"54","MARCH3"
"55","MEGF10"
"56","PRRC1"
"57","CTXN3"
"58","SLC12A2"
"59","FBN2"
"60","SLC27A6"
"61","ISOC1"
"62","ADAMTS19"
"63","MINAR2"
"64","RIOK2"
"65","RGMB"
"66","CHD1"
"67","FAM174A"
"68","ST8SIA4"
"69","SLCO4C1"
"70","ZDHHC21"
"71","CER1"
"72","FREM1"
"73","TTC39B"
"74","PSIP1"
"75","CCDC171"
"76","BNC2"
"77","CNTLN"
"78","SH3GL2"
"79","ADAMTSL1"
"80","SAXO1"
"81","HAUS6"
"82","PLIN2"
"83","DENND4C"
"84","RPS6"
"85","ACER2"
"86","SLC24A2"
"87","MLLT3"
"88","FOCAD"
"89","HACD4"
"90","TJP2"
"91","FXN"
"92","PIP5K1B"
"93","PCSK5"
"94","PLAA"
"95","IFT74"
"96","LRRC19"
"97","TEK"
"98","GCNT4"
"99","MOB3B"
"100","C9orf72"
"101","LINGO2"
"102","F2RL1"
"103","IQGAP2"
"104","F2RL2"
"105","SV2C"
"106","ANKDD1B"
"107","POLK"
"108","CERT1"
"109","MED18"
"110","HMGCR"
"111","PUM3"
"112","KCNV2"
"113","VLDLR"
"114","SMARCA2"
"115","DMRT2"
"116","DMRT1"
"117","KANK1"
"118","DOCK8"
"119","CBWD1"
"120","MAP1B"
"121","MRPS27"
"122","PTCD2"
"123","ZNF366"
"124","TNPO1"
"125","FCHO2"
"126","TMEM171"
"127","TMEM174"
"128","BTF3"
"129","ANKRA2"
"130","UTP15"
"131","ARHGEF28"
"132","ENC1"
"133","HEXB"
"134","GFM2"
"135","NSA2"
"136","FAM169A"
"137","TDRD7"
"138","TMOD1"
"139","TSTD2"
"140","NCBP1"
"141","XPA"
"142","FOXE1"
"143","SPINK4"
"144","B4GALT1"
"145","SMU1"
"146","DNAJA1"
"147","APTX"
"148","GLIS3"
"149","RFX3"
"150","ACO1"
"151","CDKN2B"
"152","CDKN2A"
"153","MTAP"
"154","CARTPT"
"155","MCCC2"
"156","SMN"
"157","GTF2H2"
"158","TMED7"
"159","CDO1"
"160","ATG12"
"161","AP3S1"
"162","LVRN"
"163","ARL14EPL"
"164","COMMD10"
"165","SEMA6A"
"166","PTPRD"
"167","KDM4C"
"168","GLDC"
"169","UHRF2"
"170","KIAA2026"
"171","MLANA"
"172","ERMP1"
"173","RIC1"
"174","PDCD1LG2"
"175","CD274"
"176","RLN3"
"177","JAK2"
"178","RCL1"
"179","CELF4"
"180","KIAA1328"
"181","TPGS2"
"182","AQP3"
"183","NOL6"
"184","UBE2R2"
"185","UBAP2"
"186","DCAF12L2"
"187","RAD17"
"188","CCDC125"
"189","ANKRD34B"
"190","DHFR"
"191","MSH3"
"192","RASGRF2"
"193","CKMT2"
"194","ZCCHC9"
"195","ACOT12"
"196","SSBP2"
"197","ATG10"
"198","ATP6AP1L"
"199","TMEM167A"
"200","XRCC4"
"201","VCAN"
"202","HAPLN1"
"203","EDIL3"
"204","ERAP1"
"205","CCNH"
"206","TMEM161B"
"207","MEF2C"
"208","CETN3"
"209","MBLAC2"
"210","LYSMD3"
"211","ADGRV1"
"212","ARRDC3"
"213","HSPB3"
"214","SNX18"
"215","ESM1"
"216","GZMA"
"217","CDC20B"
