"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GSF2960.NOF1.POA","GSF2960.NOF10.POA","GSF2960.NOF11.POA","GSF2960.NOF12.POA","GSF2960.NOF2.POA","GSF2960.NOF3.POA","GSF2960.NOF4.POA","GSF2960.NOF5.POA","GSF2960.NOF6.POA","GSF2960.NOF7.POA","GSF2960.NOF8.POA","GSF2960.NOF9.POA","GSF2960.NOM1.POA","GSF2960.NOM10.POA","GSF2960.NOM11.POA","GSF2960.NOM12.POA","GSF2960.NOM2.POA","GSF2960.NOM3.POA","GSF2960.NOM4.POA","GSF2960.NOM5.POA","GSF2960.NOM6.POA","GSF2960.NOM7.POA","GSF2960.NOM8.POA","GSF2960.NOM9.POA"
"1","ENSGALG00010000047",2058.28103157971,0.160316763707868,0.0472706045458597,3.39146844530699,0.000695191677404661,0.0157952437172821,2515,1725,2259,2448,2122,1671,1908,2161,2271,2275,2394,2257,2381,2168,2090,1758,2002,2222,1576,2001,2356,1774,1435,2142
"2","ENSGALG00010000621",253.575143010578,0.340537048343348,0.109703791179457,3.10415022746376,0.0019082641073014,0.036037072013372,256,215,311,306,315,226,226,247,313,356,244,331,263,257,309,222,258,326,119,243,211,190,186,249
"3","ENSGALG00010000734",583.749276369049,-0.620252913044605,0.193525951897845,-3.20501156026875,0.00135057056107694,0.0275634865561545,898,419,515,473,552,467,369,569,551,523,520,596,506,524,573,429,712,524,1239,500,811,417,523,697
"4","ENSGALG00010000802",3090.49418781287,0.290252193871126,0.0920991412635381,3.15151900320743,0.00162423593084603,0.0319540298271563,3698,2747,3532,4225,3526,2888,3115,3546,3499,4930,3835,2762,2932,2222,2672,2479,3135,2958,2193,2514,3227,2514,2727,2991
"5","ENSGALG00010001141",324.474308825543,-0.703645113403508,0.0781957073282929,-8.9985133128774,2.28794781637274e-19,1.38623421603459e-17,253,206,295,286,244,160,197,251,273,283,304,309,435,422,469,362,438,443,351,383,394,298,332,443
"6","ENSGALG00010001158",149.427354042655,-0.821618292444087,0.127600420771023,-6.43899359797934,1.2026827272253e-10,4.80783785766731e-09,125,87,137,122,154,89,94,118,124,116,103,96,168,195,188,143,173,180,195,203,272,142,139,232
"7","ENSGALG00010001169",1198.42830491291,-0.714919148837484,0.0493304101370294,-14.4924631044338,1.35206096189917e-47,2.66585172369034e-45,1011,749,976,1009,976,710,819,855,943,1034,1007,1093,1415,1280,1790,1333,1668,1760,1086,1537,1628,1298,1311,1639
"8","ENSGALG00010001170",300.933830666966,-0.667394185890564,0.072826050857011,-9.1642232145877,4.99050885896736e-20,3.1380859219658e-18,283,170,255,247,213,214,177,222,282,280,280,236,362,355,409,288,368,413,300,365,439,351,353,390
"9","ENSGALG00010001171",255.470115893424,-0.973713486122059,0.103173807977601,-9.43760345002922,3.81402744519117e-21,2.53534750113765e-19,207,157,181,163,145,121,153,194,212,186,209,249,383,271,321,317,412,346,308,341,369,278,284,324
"10","ENSGALG00010001178",282.997715630113,-0.885673866954684,0.062063853327512,-14.2703654296321,3.34819523257815e-46,6.18246906993359e-44,226,183,216,239,226,169,172,180,257,245,241,209,337,320,381,277,406,396,308,371,381,299,343,433
"11","ENSGALG00010001191",262.355123723202,-0.934647840345063,0.125791579127784,-7.43013043341805,1.08490644084731e-13,5.17242484687573e-12,234,176,218,175,199,112,140,172,224,161,218,153,378,328,462,353,311,420,226,437,291,272,368,291
"12","ENSGALG00010001267",287.412746769187,0.472198344168353,0.128948060144192,3.66192669855082,0.00025032549275911,0.00628949558804909,423,178,305,269,318,314,318,270,389,290,366,378,343,318,365,242,240,357,177,280,245,215,185,201
"13","ENSGALG00010001287",1784.64314189643,-0.362805792339309,0.120041799821495,-3.02232882944781,0.00250837900851883,0.0453809844573866,2491,1524,1532,1669,1900,1435,1226,2070,1577,1936,2009,2015,1669,1328,1926,1445,2517,1525,2411,1880,1877,1238,1753,1995
"14","ENSGALG00010001382",579.210922475272,-0.419600918358857,0.11780357981651,-3.5618689942396,0.000368224123183173,0.00894269566803728,740,444,543,540,554,495,442,589,491,532,545,569,626,545,746,489,665,574,833,585,588,495,567,670
"15","ENSGALG00010001442",1531.67088508879,-0.454260345432724,0.135807533220372,-3.34488326723089,0.000823172083048069,0.0183096765623292,2339,1210,1087,1653,1520,926,1162,1425,1124,1381,1408,1780,1597,1338,2044,1214,2107,1448,1873,1759,2108,1273,1297,1991
"16","ENSGALG00010001448",960.20791724184,-0.382313608476764,0.122152427216592,-3.12980770982858,0.00174920764259478,0.0338015490137958,1265,671,870,984,1155,747,796,907,844,1150,977,1039,989,738,1024,649,1234,988,1386,980,1044,631,893,1186
"17","ENSGALG00010001450",452.185067824265,0.478270476471401,0.110276719214844,4.33700313063923,1.44438568158927e-05,0.000417973597858904,523,438,532,535,497,445,570,462,496,565,506,399,530,543,478,407,431,484,193,404,407,391,335,360
"18","ENSGALG00010001454",71.3693570445566,0.619720057005733,0.188471806770929,3.28813135303016,0.00100854772136012,0.0216175998790878,92,54,70,95,60,71,73,90,109,84,79,116,106,91,70,65,50,72,30,62,47,38,54,60
"19","ENSGALG00010001463",1226.65679216327,0.349501360522437,0.0748466512994336,4.66956576486251,3.01837063476786e-06,9.33848553038684e-05,1343,1033,1428,1394,1495,1263,1370,1386,1389,1744,1301,1552,1190,1005,1261,888,1203,1259,762,1077,1252,968,981,1179
"20","ENSGALG00010001487",506.204903834701,-1.25079656395872,0.411286016652475,-3.04118426913504,0.00235649565266075,0.043021078676919,926,298,328,239,564,406,265,538,274,379,246,224,424,425,617,337,628,361,2068,253,583,334,348,622
"21","ENSGALG00010001577",114.991255017353,-1.37663313421405,0.365883098198862,-3.76249447156979,0.000168227028190448,0.00436827013156133,225,59,79,49,115,76,45,129,59,61,80,49,97,88,119,92,121,79,458,88,162,66,109,161
"22","ENSGALG00010001585",1211.75428548655,-0.772700147252375,0.248747688809877,-3.10636111213465,0.00189405259959679,0.0358268518554625,2101,681,1029,847,1256,907,704,985,898,976,1035,1243,1131,1066,1653,874,1559,1209,2757,1036,1722,703,991,1612
"23","ENSGALG00010002358",145.550435536031,0.827827772488117,0.237389851239021,3.48720793314201,0.00048809171362417,0.011587695723653,165,127,178,208,149,302,108,159,365,153,215,120,131,126,77,109,111,135,74,147,92,89,69,110
"24","ENSGALG00010002371",1890.15451900903,0.553912877434294,0.184911150407151,2.99556233474643,0.00273939304554051,0.0488014690639705,1848,1315,2356,2452,2315,1885,1779,2731,1385,1874,2110,2453,1463,2385,2873,1363,1231,3287,896,1461,1273,2060,1043,2084
"25","ENSGALG00010002396",854.888248867624,0.184878199808479,0.049229348310214,3.75544682500135,0.000173032497327157,0.00448304463564993,1110,750,983,1012,907,780,748,855,1040,1107,1042,917,829,759,832,655,933,918,559,851,887,735,706,859
"26","ENSGALG00010002458",402.202697129879,-1.26873149706562,0.373016910577659,-3.40127072282284,0.00067073366943292,0.0152993034833591,781,179,255,243,413,256,167,381,260,251,278,309,345,268,432,315,530,242,1565,278,562,262,334,460
"27","ENSGALG00010002582",168.751113950576,-1.00777836890618,0.308026200217542,-3.27172937949578,0.00106891838973293,0.0226085956868421,344,75,126,113,170,127,79,161,113,128,151,135,145,115,193,122,234,129,543,131,230,95,148,171
"28","ENSGALG00010002685",408.590802085579,-0.649773668660461,0.21168953132234,-3.06946529004804,0.00214442322524198,0.0397583599754263,616,300,356,307,406,291,268,337,384,358,395,487,392,328,441,362,490,324,952,368,512,262,331,447
"29","ENSGALG00010003531",1984.00797173545,0.144659986455615,0.0402473701269052,3.594271774764,0.000325300146016169,0.0080344301456605,2419,1665,2178,2183,2152,1765,1762,1943,2257,2278,2368,2156,2069,2073,2149,1599,1906,2154,1513,1752,2248,1732,1648,2097
"30","ENSGALG00010003541",9774.42927086175,0.260628000453698,0.0717432034892041,3.63279011499559,0.000280373067281449,0.00699909848001094,11657,8015,13698,12347,10369,9421,9265,9833,13262,11436,11454,10334,9271,8627,9315,8549,9659,10469,5493,10427,8717,7978,7582,10497
"31","ENSGALG00010003743",226.380331676033,0.260142150805154,0.0731096658095233,3.55824565636666,0.000373340066980106,0.00904805208162411,266,213,280,284,279,215,215,222,280,274,264,271,218,194,252,185,232,181,160,211,194,190,173,233
"32","ENSGALG00010003761",877.869380040301,-1.48926070276435,0.42884159326295,-3.47275247121655,0.000515150232440173,0.0121310580040011,1694,365,551,348,772,618,250,969,416,475,597,519,678,673,962,612,1235,478,3750,494,1374,547,730,1206
"33","ENSGALG00010004781",885.959919105858,0.161142717869853,0.0531116060451532,3.03403963594805,0.00241302724899591,0.0437921154252253,963,824,1036,990,902,776,802,912,920,1066,998,917,952,907,979,782,869,935,629,764,965,865,710,949
"34","ENSGALG00010005146",956.369106056055,-0.534915150206391,0.169208203285603,-3.16128379014532,0.00157075381088531,0.0313423311870133,1230,697,910,585,1107,1050,728,806,776,634,1254,930,813,699,1015,692,1377,859,1301,1141,1439,699,894,1348
"35","ENSGALG00010005186",376.412869050981,0.473807271227146,0.146786824762335,3.22785966652181,0.00124720142786809,0.0256791047971495,342,291,451,562,305,375,502,423,502,545,354,375,405,421,332,300,291,469,215,336,310,382,248,354
"36","ENSGALG00010005477",171.200741295024,-0.668676569079095,0.140473722980152,-4.76015410493233,1.93445197466769e-06,6.06562798418038e-05,153,92,140,140,184,90,112,129,115,231,133,134,187,201,247,170,220,194,129,287,243,213,157,254
"37","ENSGALG00010005495",3121.73172877185,-1.01073034383184,0.234852427221114,-4.30368276705198,1.67982148237408e-05,0.000483697111496477,2903,3763,2487,1822,2328,1438,1942,1667,2030,2500,3911,2172,3730,3232,3626,3237,5448,2924,2122,5431,2152,3616,5873,4501
"38","ENSGALG00010005531",16.471202174147,-1.04935229098473,0.27755367030364,-3.78071848171472,0.000156376420102403,0.00409713264651182,23,6,12,16,10,16,11,12,5,11,10,10,31,23,15,16,24,22,12,26,15,16,19,37
