"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name","GSF2960.NOF1.POA","GSF2960.NOF10.POA","GSF2960.NOF11.POA","GSF2960.NOF12.POA","GSF2960.NOF2.POA","GSF2960.NOF3.POA","GSF2960.NOF4.POA","GSF2960.NOF5.POA","GSF2960.NOF6.POA","GSF2960.NOF7.POA","GSF2960.NOF8.POA","GSF2960.NOF9.POA","GSF2960.NOM1.POA","GSF2960.NOM10.POA","GSF2960.NOM11.POA","GSF2960.NOM12.POA","GSF2960.NOM2.POA","GSF2960.NOM3.POA","GSF2960.NOM4.POA","GSF2960.NOM5.POA","GSF2960.NOM6.POA","GSF2960.NOM7.POA","GSF2960.NOM8.POA","GSF2960.NOM9.POA","GSF2960.NOF1.TnA","GSF2960.NOF10.TnA","GSF2960.NOF11.TnA","GSF2960.NOF12.TnA","GSF2960.NOF2.TnA","GSF2960.NOF3.TnA","GSF2960.NOF4.TnA","GSF2960.NOF5.TnA","GSF2960.NOF6.TnA","GSF2960.NOF7.TnA","GSF2960.NOF8.TnA","GSF2960.NOF9.TnA","GSF2960.NOM1.TnA","GSF2960.NOM10.TnA","GSF2960.NOM11.TnA","GSF2960.NOM12.TnA","GSF2960.NOM2.TnA","GSF2960.NOM3.TnA","GSF2960.NOM4.TnA","GSF2960.NOM5.TnA","GSF2960.NOM6.TnA","GSF2960.NOM7.TnA","GSF2960.NOM8.TnA","GSF2960.NOM9.TnA"
"1","ENSGALG00010005556",10.0500285595959,-2.65016571761399,0.452837719576764,-5.85235196416701,4.84669587397667e-09,1.90826423491315e-05,"IYD","     3","    3","     3","    10","     6","     3","     4","     3","     4","     3","     3","    13","    31","    33","    84","   26","     8","    54","     0","     8","    7","    31","    6","     8","    4","    5","    3","     6","    8","    8","    8","    8","     5","    5","     4","    2","    6","    7","   11","     6","    9","    9","    6","    6","    10","    4","     5","    3"
"2","ENSGALG00010005724",374.233027201412,-0.471629734852601,0.103968941109102,-4.53625601859007,5.72616628778443e-06,0.00779585728046918,"PROSER2","   631","  425","   729","   859","   537","   427","   576","   535","   671","   646","   533","   568","   772","   694","   678","  608","   491","   817","   328","   545","  560","   559","  455","   557","  176","  134","  227","   210","  172","  200","  141","  166","   252","  169","   186","  136","  162","  175","  184","   252","  210","  192","  182","  237","   266","  171","   203","  240"
"3","ENSGALG00010007986",115.067454904802,0.907633532008058,0.167154535185208,5.42990670879731,5.63835182837734e-08,0.000138173449906215,"MYC","   235","  215","   183","   193","   164","   113","   138","   107","   172","   200","   250","   176","    98","   103","   117","  101","   248","   104","   176","   259","  149","    97","  177","   142","   66","   74","  129","    87","   57","   59","   63","   78","   102","   93","   113","   50","   55","   70","   57","    54","  113","   71","   44","   84","    74","   59","    76","   91"
"4","ENSGALG00010008429",146.654290908382,-0.776794051769982,0.130561600802749,-5.94963639380888,2.68738817910176e-09,1.6464283679267e-05,"IGFBP3","   157","  140","   180","   173","   164","   105","   138","   145","   169","   188","   169","   218","   315","   233","   329","  278","   169","   261","    81","   140","  171","   157","  143","   184","  106","   98","  161","   144","  103","  106","  108","  114","   136","  115","   123","   78","  106","  106","  113","   132","  151","  129","   86","  119","   125","  101","   123","  134"
"5","ENSGALG00010010094",192.074549994651,-0.923567603537213,0.151688095825487,-6.08859646178006,1.13904817246801e-09,1.39567572572505e-05,"SLC2A9","   267","  249","   382","   396","   300","   249","   288","   262","   367","   286","   326","   322","   503","   598","   540","  420","   275","   594","   119","   304","  309","   403","  256","   310","   37","   72","   89","    52","   57","   63","   35","   63","    73","   79","    79","   47","   41","   60","   48","    78","   59","   58","   65","   55","    57","   67","    67","   72"
"6","ENSGALG00010010449",21.7902715155048,-2.3555379387463,0.486007166476523,-4.8467144133359,1.25522916238489e-06,0.00219718898952887,"PAPPA2","    23","   30","    43","    18","    36","    15","    87","    70","    22","    27","    23","    26","    55","    36","   170","   20","     9","    97","     8","    16","   22","    49","   10","    17","   10","    3","    2","    12","    1","    2","    7","   11","     9","   12","    11","    5","    3","    8","    6","     7","   10","    5","    3","    9","    18","    9","    15","    6"
"7","ENSGALG00010013635",1152.5948940271,0.806117853362013,0.150110768221693,5.37015340679284,7.86696918449182e-08,0.000160656622362631,"BCL6","  2056"," 1760","  1856","  2090","  1621","  1319","  1769","  1824","  1515","  2233","  1928","  1958","  1191","   938","   899","  895","  2095","   911","  1596","  1986"," 1920","   726"," 1209","  2210","  629","  915"," 1017","   818","  783","  725","  652","  672","  1385","  945","   859","  805","  546","  602","  549","   713","  735","  581","  568"," 1102","  1070","  540","   771","  869"
"8","ENSGALG00010016850",111.013436290685,-1.22975084795651,0.2116437309567,-5.81047613552089,6.22954128756435e-09,1.90826423491315e-05,"GPR83L","    59","   78","    98","    90","    97","   105","    66","    68","   118","   106","    60","    86","   142","   206","   299","  148","    56","   227","    50","    83","   93","   174","   95","    99","  118","  120","  115","   117","  109","  126","  100","   75","   164","  122","   175","   89","   72","   69","  111","   127","  138","  112","   56","  125","   144","   95","    85","  103"
"9","ENSGALG00010017593",969.823069952863,0.24256293894128,0.0593598281508538,4.0863147097536,4.38279198078852e-05,0.0488203183096379,"MTHFR","  1260","  955","  1140","  1186","  1090","   796","   979","  1013","  1295","  1248","  1356","  1178","   936","   862","   938","  776","  1202","   869","   778","  1066","  914","   794","  982","  1004","  884","  944"," 1089","  1204","  900"," 1057"," 1026","  947","  1073","  964","  1159","  813","  674","  720","  611","   944"," 1144","  821","  728","  985","  1005","  772","  1088","  950"
"10","ENSGALG00010023832",497.547369523351,-0.707319764246261,0.157617412904102,-4.48757374717609,7.20388789560568e-06,0.00882692383848564,"","   478","  389","   623","   499","   494","   436","   631","   516","   600","   765","   412","   554","   645","   589","   761","  485","   397","   607","   171","   427","  349","   464","  298","   409","  419","  371","  517","   729","  468","  659","  566","  561","   467","  473","   583","  360","  471","  343","  383","   622","  581","  425","  408","  596","   560","  464","   518","  534"
