,geneID,genename,moduleColor,GS.Mass_min,p.GS.Mass_min,MM.brown,p.MM.brown,MM.grey,p.MM.grey,MM.green,p.MM.green,MM.lightgreen,p.MM.lightgreen,MM.pink,p.MM.pink,MM.black,p.MM.black,MM.lightcyan,p.MM.lightcyan,MM.cyan,p.MM.cyan,MM.grey60,p.MM.grey60,MM.purple,p.MM.purple,MM.salmon,p.MM.salmon,MM.midnightblue,p.MM.midnightblue
1891,ENSGALG00010007920,FAT3,black,0.727088232,8.48E-05,-0.725331182,9.00E-05,0.32267243,0.133177807,0.000279669,0.998989524,0.455822416,0.028820535,0.438173286,0.036501017,0.505011257,0.013977342,0.361309197,0.090280282,-0.101343802,0.645436195,-0.243979049,0.261909297,0.005859448,0.978831457,-0.250174189,0.249605156,0.099234755,0.652358637
5307,ENSGALG00010018487,,black,0.647355722,0.000840507,-0.593416193,0.002837366,0.570322335,0.004489685,0.35754668,0.09393327,0.307341348,0.153706806,0.395262696,0.061937005,0.50516932,0.013942544,0.167956769,0.443653001,0.223985743,0.304221646,0.253571911,0.243018605,0.16616284,0.448606383,0.021272169,0.923251266,-0.194761514,0.373183474
128,ENSGALG00010000802,SEMA5A,black,0.729949233,7.70E-05,-0.58870032,0.003124669,0.244011629,0.261843594,0.416008165,0.048337799,0.260503511,0.22993547,0.376655908,0.076469212,0.658412497,0.000636253,0.188608403,0.388761829,0.567479197,0.004739921,0.1803795,0.410157903,0.185651881,0.396375519,0.02380708,0.914136502,-0.177726481,0.417191557
2837,ENSGALG00010010973,PGAP1,black,0.678757555,0.000369902,-0.576147105,0.004011471,0.228113513,0.2951602,0.296985111,0.168776184,0.327045214,0.127701261,0.147178741,0.502764613,0.591567567,0.002947209,0.41968453,0.046191702,0.423712228,0.043926566,0.025533849,0.907933487,0.190652671,0.383546004,0.014621426,0.947206889,-0.169254565,0.440087663
7745,ENSGALG00010025407,MLXIP,black,0.553617842,0.00613349,-0.552920672,0.006211743,0.457726708,0.028075531,0.07516295,0.733216939,0.367273097,0.084708361,0.412770906,0.050291057,0.476516941,0.02151727,0.252801387,0.244502256,-0.065394531,0.766887265,-0.123017077,0.576025315,-0.034376884,0.876255872,-0.341158998,0.111132834,-0.097612175,0.657703353
6647,ENSGALG00010022508,USF3,black,0.610243049,0.001986789,-0.53834196,0.008048839,0.206791398,0.343782127,0.252769317,0.244564135,0.400665009,0.058142865,0.509498155,0.013016704,0.720836264,0.000104357,0.300446832,0.163629189,0.407415817,0.053655963,-0.066438895,0.763266777,0.023244241,0.916159437,0.087005228,0.693032445,0.048118573,0.827409427
5997,ENSGALG00010020984,PSEN1,black,0.735250453,6.42E-05,-0.538176521,0.008072017,0.647153218,0.000844719,0.479607325,0.020568043,0.399125154,0.05920561,0.127756164,0.561295742,0.552162801,0.006297751,0.398257182,0.059811191,0.292534956,0.175556659,0.467965651,0.024329012,0.588342021,0.003147466,0.175682128,0.42265614,0.001371646,0.995044118
528,ENSGALG00010002396,SEC23IP,black,0.742197347,5.02E-05,-0.533715448,0.008718192,0.529941729,0.009297664,0.523320004,0.010391219,0.281415292,0.193315247,0.427354518,0.041953815,0.629494346,0.001288953,0.144680033,0.510123061,0.433421534,0.038822589,0.438023699,0.036572391,0.319382281,0.137407998,0.041958132,0.849241914,-0.106076661,0.630005624
1813,ENSGALG00010007717,GALR1,black,0.577459925,0.003909816,-0.517329355,0.01146977,0.406737098,0.054094573,0.304561259,0.157655497,0.583137733,0.003494724,0.421565736,0.045122663,0.39357421,0.063160934,0.015094377,0.945501642,0.039268288,0.858809343,0.100747513,0.647390518,0.004675563,0.983107835,-0.617699094,0.001685785,0.06954773,0.752518027
5856,ENSGALG00010020557,,black,0.655110067,0.000692219,-0.515896189,0.011740974,0.33921559,0.113315644,0.589450784,0.003077373,0.361408091,0.090185717,0.337502268,0.115265825,0.466970982,0.024674352,0.341643054,0.110593965,0.494022708,0.016576401,0.306088157,0.155478058,0.116286615,0.597229438,0.201765278,0.355895039,0.0970881,0.659433122
7783,ENSGALG00010025549,DHCR24,black,0.76392053,2.21E-05,-0.514427061,0.012024425,0.689455467,0.000273439,0.454129519,0.029495989,0.168736248,0.441509766,0.433544573,0.038761046,0.509991924,0.012914374,0.003647596,0.986821381,0.226914748,0.29777433,0.490103137,0.017593405,0.351226375,0.100314974,-0.026465933,0.90458733,-0.016379815,0.940868133
5298,ENSGALG00010018458,SEMA5B,black,0.57070492,0.004456873,-0.514006283,0.012106636,0.230359767,0.290300298,-0.000118965,0.999570167,0.364275911,0.087475409,0.439386728,0.035926089,0.8069588,3.28E-06,0.107378961,0.62578549,0.178856315,0.414188138,-0.17219907,0.432055221,0.070203,0.750258032,-0.124389856,0.571741226,-0.287558636,0.183359079
4900,ENSGALG00010017475,STUM,black,0.576685231,0.003969537,-0.502034239,0.014646104,0.404547213,0.055528654,-0.117815407,0.592384245,0.350858333,0.100696206,0.27556689,0.203129302,0.476815699,0.021423992,0.048473215,0.82615618,-0.249764779,0.250406527,-0.055466213,0.801531501,0.287745824,0.18306135,-0.261033481,0.228954664,-0.095797374,0.663700496
5229,ENSGALG00010018325,,black,0.586122009,0.003291859,-0.498759252,0.015411722,0.402828009,0.056674912,0.030008687,0.891883719,0.089251814,0.685494822,0.395198295,0.061983351,0.701861685,0.000189552,0.410421364,0.05174664,0.123224566,0.575376895,-0.090099644,0.682657703,0.185534323,0.396679971,0.166469451,0.447757717,-0.096492459,0.661401152
4929,ENSGALG00010017535,LIMD1,black,0.490149555,0.017581072,-0.494517143,0.016451577,0.510495524,0.012810687,-0.142342091,0.517054989,0.385417403,0.069336015,0.209706468,0.33687006,0.368482703,0.083610404,0.206163346,0.345282237,-0.322056867,0.133962056,-0.018233604,0.934189237,0.284398933,0.188434901,-0.003476931,0.987437937,-0.072052394,0.743890313
3797,ENSGALG00010013690,CREB3L2,black,0.563208353,0.005137696,-0.481647993,0.019959983,-0.024056433,0.913240452,0.127573147,0.561861429,0.507883998,0.013355864,0.473084937,0.022612473,0.723036776,9.71E-05,0.281389183,0.193358329,0.392896807,0.06365713,-0.218412539,0.316724457,-0.097608555,0.657715295,-0.090948239,0.67982218,-0.143521991,0.513550981
120,ENSGALG00010000786,ANKRD33B,black,0.391894355,0.064396888,-0.477639354,0.021168516,-0.045148855,0.837919642,-0.304951838,0.157096486,0.099762089,0.650625159,0.255998484,0.238384579,0.375789764,0.07720338,0.111723523,0.611789389,-0.137517454,0.531501231,-0.520744313,0.010844227,-0.107868636,0.624201612,-0.197945595,0.365264882,-0.018647664,0.932698019
4636,ENSGALG00010016766,AOAH,black,0.583163333,0.00349294,-0.4761129,0.02164394,0.56909528,0.004596289,0.161365667,0.461993996,0.137372535,0.531938068,0.352442246,0.099063102,0.56148013,0.005306402,0.20474571,0.348682456,0.069299405,0.753375005,0.203067656,0.35273266,0.37211034,0.080381573,0.106888186,0.627374533,-0.039845892,0.856753214
2913,ENSGALG00010011178,RSPO2,black,0.592559367,0.00288784,-0.475494901,0.02183885,0.199613785,0.361155334,0.12440148,0.571705013,0.095534592,0.664570546,0.373522467,0.079150384,0.542087157,0.007538695,0.257936667,0.234725017,0.24841236,0.253065546,-0.051696971,0.814783114,0.154326006,0.482007611,0.284080989,0.188950914,0.16053546,0.464331646
3069,ENSGALG00010011658,TENM1,black,0.550025105,0.006545711,-0.473353204,0.022525282,0.420239671,0.045874198,0.002858318,0.989672841,0.172490174,0.431265407,0.476487706,0.021526416,0.830800333,9.20E-07,0.166046444,0.448928776,0.133772359,0.542844053,-0.059160282,0.788595286,0.174087921,0.426944281,-0.071068807,0.747274946,-0.23131659,0.288245398
