,geneID,genename,moduleColor,GS.Mass_min,p.GS.Mass_min,MM.blue,p.MM.blue,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.brown,p.MM.brown,MM.yellow,p.MM.yellow,MM.grey,p.MM.grey
3446,ENSGALG00010013527,ADARB1,black,0.396563962,0.061006225,-0.118612196,0.589865629,0.242071375,0.265774912,0.298373309,0.16669883,0.192316615,0.379330023,0.174763228,0.425124963,0.138021517,0.529983118,0.090982136,0.679709003,0.144038302,0.512021277,0.527676337,0.009660546
5973,ENSGALG00010021914,,black,0.240175462,0.269652559,-0.112437016,0.609503186,0.121681489,0.580206756,0.052315338,0.812605634,0.303775887,0.158783775,0.090932282,0.679875461,0.230287265,0.290456377,-0.09560174,0.664348185,-0.088789251,0.687044444,0.379648938,0.073972775
7249,ENSGALG00010025735,,black,0.117763044,0.592549923,0.004204345,0.984810078,0.13399784,0.542157987,0.103162935,0.639488078,0.160372755,0.464790498,0.345692757,0.106160319,0.282137499,0.192126123,0.165565455,0.45026231,-0.058078306,0.792378814,0.27989623,0.195832719
2390,ENSGALG00010010259,IGF1,black,0.097112476,0.65935263,0.01786943,0.935500971,0.152716114,0.486645004,-0.141593076,0.519285313,0.263166606,0.225034853,0.178137626,0.416097242,0.301646013,0.161872045,-0.156409566,0.476039023,-0.143628849,0.513234204,0.345349058,0.106531452
8161,ENSGALG00010029258,TMEM100,black,-0.30248898,0.160644781,0.280983368,0.194028803,-0.218123569,0.317381117,-0.491622552,0.017193321,-0.145899898,0.506524169,0.082806437,0.707195265,0.302717717,0.160312892,-0.216168855,0.321844734,-0.348003186,0.10369008,-0.304563111,0.157652843
4345,ENSGALG00010016979,PLSCR5,black,-0.221415445,0.30994954,0.194780824,0.373135155,-0.022776558,0.917840747,-0.475154857,0.021946697,0.010389248,0.962475305,0.261008774,0.229000327,0.314818405,0.143433485,0.079919859,0.716986981,-0.190798193,0.383176236,-0.104024659,0.636677902
626,ENSGALG00010002952,NBAS,black,-0.039961729,0.856340971,0.095808435,0.663663883,0.191940929,0.380279593,0.018540254,0.933084831,0.139468122,0.525637671,-0.045972625,0.835001451,0.319090691,0.137787473,-0.041737133,0.850027221,-0.239792711,0.270439725,0.324152423,0.131305726
4585,ENSGALG00010017706,FGFRL1,black,0.126942628,0.563812249,-0.005082981,0.981636122,0.088327961,0.688591021,0.168937939,0.440956099,0.018078031,0.934749582,0.084139217,0.702689262,0.322689067,0.133156657,0.037642963,0.864599828,-0.268713461,0.215050818,0.351862292,0.09965878
4027,ENSGALG00010016006,PLTP,black,-0.242657882,0.264582592,0.444247139,0.033694519,0.412469829,0.050475784,-0.30324654,0.159547428,0.29654619,0.169436729,0.342674028,0.109452617,0.333609625,0.119787273,0.258079727,0.23445637,0.188095852,0.390075813,0.299002137,0.165763709
253,ENSGALG00010001502,LGSN,black,0.108297081,0.622817104,-0.19128618,0.381937742,-0.410981484,0.051396709,-0.361710247,0.089897243,-0.126718423,0.564506665,-0.177194997,0.418608495,0.334862818,0.118317831,-0.386768422,0.068282728,-0.657516015,0.000651046,-0.311079517,0.148507811
